producoes_id,pesquisadores_id,issn,nomeartigo,anoartigo
ca14a026-8436-4e46-93e7-93fc3613ceb2,83f3b662-3130-4d3e-9b4f-a698472dc7c3,16604601,A Critical Analysis of the COVID-19 Hospitalization Network in Countries with Limited Resources,2022
17e7e850-49f1-4d19-8f3d-e6fd17efcbef,83f3b662-3130-4d3e-9b4f-a698472dc7c3,17554365,"Synchronized spread of COVID-19 in the cities of Bahia, Brazil",2022
6880daa3-a5f6-4a0d-83ad-eb69c0ccabd6,83f3b662-3130-4d3e-9b4f-a698472dc7c3,21789010,Desenvolvimento sustentável: uma proposta para descarbonização de frotas de veículos,2023
1fe8b09b-2e47-40eb-942d-6957bb482bae,83f3b662-3130-4d3e-9b4f-a698472dc7c3,23166517,SAÚDE PÚBLICA: PROSPECÇÃO TECNOLÓGICA DOS REGISTROS DE SOFTWARES PARA O COMBATE A DENGUE,2022
99a4a6e7-5793-452a-b733-5891f6e83454,83f3b662-3130-4d3e-9b4f-a698472dc7c3,00105236,Maker Culture: dissemination of knowledge and development of skills and competencies for the 21st century,2023
73070a82-7aa0-415b-b207-fe2bfcfbdea7,83f3b662-3130-4d3e-9b4f-a698472dc7c3,19887833,Diretrizes para o planejamento de um ambiente de aprendizagem neuroarqeducativo,2023
e0af34f3-4303-4e0c-b26e-5339823eb22f,2d647981-d092-43bc-b25c-a30db53bd9ff,19818920,Redes complexas de homônimos para análise semântica textual,2017
2fb4c7fe-39ae-4311-92ec-8e7b84d1885e,2d647981-d092-43bc-b25c-a30db53bd9ff,19818920,Inovação e empreendedorismo como caminhos para novos modelos de ensino/aprendizagem,2017
a9c10e6c-6743-457f-b9bc-b2eaed57c6b3,2d647981-d092-43bc-b25c-a30db53bd9ff,18093957,"ANÁLISE DA RELAÇÃO DA CULTURA MAKER, FABLABS E ROBÓTICA EDUCACIONAL NA EDUCAÇÃO",2019
59d93f73-514b-42e0-88c1-e6936aad6860,2d647981-d092-43bc-b25c-a30db53bd9ff,23170026,CATÁLOGO DE AÇÕES DA AGÊNCIA UNEB DE INOVAÇÃO DURANTE O ANO DE 2018 COM BASE NA ESTRATÉGIA NACIONAL DE CT&I DO BRASIL 2016-2022,2019
912d5b47-4f1c-44c3-9f31-f9fa1e6674ae,2d647981-d092-43bc-b25c-a30db53bd9ff,22309926,A METHOD FOR ONTOLOGY MODELING BASED ON INSTANCES CONCEPTUAL CLASSIFICATION AND FORMALIZATION,2020
57e0eb9f-0f16-42c6-b597-a99c0e685787,2d647981-d092-43bc-b25c-a30db53bd9ff,00489697,"Relevance of transportation to correlations among criticality, physical means of propagation, and distribution of dengue fever cases in the state of Bahia",2018
6c01252c-b5cd-4b73-bfbd-cb6bc1438f63,2d647981-d092-43bc-b25c-a30db53bd9ff,25253409,Systemic arterial hypertension: treatment with Integrative and Complementary Health Practices,2020
d3965e06-a45c-47d3-b7ed-1b68c03b4b9b,2d647981-d092-43bc-b25c-a30db53bd9ff,25253409,"Spatial-temporal Correlation of Dengue Fever and Climatic Variables in the City of São Paulo, Brazil",2021
025eeed7-f7b3-48d7-9bc1-151ad7dce82d,2d647981-d092-43bc-b25c-a30db53bd9ff,25253409,Inteligência artificial em ambientes virtuais de ensino e aprendizagem: Uma proposta de modelo,2021
